addr,n,hold_med,train_pnl,hold_pnl,sharpe,t_stat,top_coin
0xb4a9964201c213af0c9c7f62af561813c9a2f1f7,6761,2124.8037583333335,211482.554109,136249.64395385,9.434808343923953,5.224689913626123,HYPE
0xa5fd942d4badbab4fe84a9e10f565dd40d5f15ff,12405,1560.58075,319469.761644,199910.781713,9.316591585779925,6.012635164355328,BTC
0x255e7abaca5ac048f3cd95afead4fd764dc5cad8,3053,523.2815583333334,8504.11757029,10179.47079057,9.297686283940637,5.776310503960491,HYPE
0x68907104c3a36283b195745e15ce1a74313496b0,10000,49.84583333333333,110838.206219,72734.774841,9.24565479620425,6.809775229836732,xyz:MSTR
0x18cfbf7cbbc6c9c6f911b0df9dc1b6a2a6258f43,1308,604.6288333333333,7071.8234766,3932.46598233,9.19583362197673,6.267777540311973,xyz:MSTR
0xec050ec4c8d177ac617ca85c7ad145b05b825649,1692,1695.87675,91744.591248,21447.37186,9.008218509206179,3.526541786766577,xyz:MSTR
0x31739a0f7a70bf18076c0dc25753c5efbbec505b,5323,1280.8289916666668,10977.288254000001,29586.166928,8.866252726511853,7.214028291515176,BTC
0x568d9f311aa888834d13e09e70273be7a89f853d,1205,83.09943333333334,12361.18835,35497.152379,8.833719772300734,7.769137581571299,HYPE
0x241066637dea18ef8fdcb1af0a920daa93c3bec0,4645,125.76890833333334,16909.88489797,13401.707269,8.81930030911965,7.271260031272038,xyz:CRCL
0x618d69438f6c5785a72d0024a8cb73b81c356e34,8524,18.539058333333333,19608.17838832,17635.11286752,8.694660248785475,8.794777788319658,cash:CAR
0xa31a661fa0247e04499291c98c57ca23dc2d26db,1428,1173.574075,11660.672741,17710.56411067,8.647705633316779,6.243392643104512,HYPE
0x93f2a4be47cc6c306ed6cd552bc1793c837f8571,724,1378.2255,18029.973710449998,8148.22560327,8.59842794237058,5.399144989380154,@107
0x925f1b66ffa6246ad02ecaa8fcdea175b37093ba,2841,402.7697,16568.583681,8696.892489,8.546332827906785,9.56478556261881,AAVE
0x8619c8a6d9c3ff25137e4d774cc94457a7b88b03,2350,352.8238666666667,20571.02913748,11410.72526751,8.528959840237352,6.295135216081199,xyz:CL
0xd10e2b1b66001bd4086d61e43e836ab9c168fd9a,9014,370.1490416666667,211887.0880011801,130987.92871462,8.507745139929032,4.236152280319391,@107
0x7ec49c3eb939964b3b0e19eda175102670624ad9,1259,209.05873333333332,9453.79390012,9396.35301055,8.463831891929567,6.725134348835211,BTC
0xbbf7d7a9d0eaeab4115f022a6863450296112422,6530,313.8644,22899.13287,8463.090736,8.402507162803735,10.009414060260395,BNB
0x4101ce19ee81f24da894976e585f1e79119dbd93,1026,1577.4581833333334,44474.54907,29728.091115,8.395946017372427,4.6620020270380556,HYPE
0xd2147a366e335b89b68ace628923962393b56813,1334,49.4145,241656.74438062,81295.94812073,8.369106861420603,5.820619776301042,xyz:CL
0xb27bbaadcdfeab937069b4d966ee6bf5a32c999b,3863,2123.6659416666666,27569.729717000002,98460.087876,8.292283441796934,6.683222531790855,CC
0xf0ae4d359f07fb630a5bcb197ac3beaba4cc2f74,3338,2186.84795,76740.14945068999,129569.06623899999,8.273870312348981,5.674461254013694,xyz:CL
0x649156ebf0a350deb18a1e4835873defd4dc5349,3756,588.3098666666667,514484.79539498,16299.492453,8.250040250560334,2.222848812482182,HYPE
0x5c7e7b3a5fcf12fa561374be3bba6cb3997dc5ee,6060,154.59806666666668,139470.596679,11950.643924,8.171470593377459,2.5112975890960496,SOL
0xf85a42a3f447f20ce982c63ade745b71b2d3a668,5789,118.20395,52462.75042794,120324.72600798,8.04212504889989,6.877774999595011,xyz:BRENTOIL
0x64bddab5f13a99576fca6747f0aa205422c5f708,10000,964.6057166666667,244326.42721352,29697.06962983,8.028362094278592,2.6343004198967463,HYPE
0x357964620189ed90974a4048bb050e7398721e2f,10000,31.163483333333332,89839.040819,45108.668732,7.976502799519994,6.08857317807141,FARTCOIN
0x456f1049c0f2ec990091bbd3f30af62aca3fcdf1,1259,552.8020166666666,26993.969868,96274.485711,7.953315553681522,6.58866230221204,ZEC
0x80d2f7ed506098c5e151bff10a93d3e9880f3215,10000,7.716933333333333,11246.109116,425.307538,7.8975956709416,0.43733760116615705,ETH
0xe95fdc2643a2e79dbf4f156187ccfacfaf96fd63,611,125.67940833333333,4189.45623,1063.63414,7.894390683829745,3.63688804461999,ETH
0x0c44471cc8516125ead11e09446302ae20540ed4,1953,1281.8830083333332,97237.84155,198764.65750097,7.8413378096965705,5.693171884590402,HYPE
0x72678034ceb50c11fb599f850ed3dfa55edc78bb,6000,262.99738333333335,37911.3115351,1038.62825557,7.799255943632355,4.187829280373794,HYPE
0xd70c9e61ba506a8cf1c25b54d14b25abdc048fd4,763,2214.39285,47430.54733811,13145.714889,7.782022669976995,3.843838196096063,HYPE
